-50	10	0.5	2
-48	11	0.5	2
-46	11.6	0.5	2
-44	11	0.5	2
-42	11.8	0.5	2
-40	12.6	0.5	2
-38	13	0.5	2
-36	13.8	0.5	2
-34	14.2	0.5	2
-32	13	0.5	2
-30	11.8	0.5	2
-28	11	0.5	2
-26	14	0.5	2
-24	17	0.5	2
-22	21.6	0.5	2
-20	24	0.5	2
-18	23	0.5	2
-16	20	0.5	2
-14	16.6	0.5	2
-12	8	0.5	2
-10	6.4	0.5	2
-8	16	0.5	2
-6	22.4	0.5	2
-4	28	0.5	2
-2	30	0.5	2
0	34	0.5	2
2	27.2	0.5	2
4	16.8	0.5	2
6	6	0.5	2
8	10	0.5	2
10	17	0.5	2
12	24	0.5	2
14	30	0.5	2
16	27	0.5	2
18	25	0.5	2
20	18	0.5	2
22	12	0.5	2
24	7	0.5	2
26	10	0.5	2
28	12.6	0.5	2
30	16	0.5	2
32	18	0.5	2
34	16.6	0.5	2
36	14.4	0.5	2
38	11.4	0.5	2
40	8	0.5	2
42	6.2	0.5	2
44	4	0.5	2
46	5	0.5	2
48	6	0.5	2
50	7	0.5	2

