-20	-15.1	0.06	0.2
-15	-11.1	0.06	0.2
-10	-7.5	0.06	0.2
-5	-3.9	0.06	0.2
0	0	0.06	0.2
5	3.9	0.06	0.2
10	7.9	0.06	0.2
15	12.2	0.06	0.2
20	16	0.06	0.2

