1.5	0.6	0.02	0.0006
15	0.702	0.155	0.0006
3.7	0.633	0.042	0.0006
5	0.652	0.055	0.0006
7.8	0.67	0.083	0.0006
11	0.689	0.115	0.0006
23	0.72	0.235	0.0006
42	0.745	0.425	0.0006
63	0.767	0.635	0.0006
83	0.778	0.835	0.0006
37	0.735	0.375	0.0006
